Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,"Earnings per share diluted growth %, TTM YoY",Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week
NVDA,NVIDIA Corporation,180.05,USD,-1.3316527838667134,178098938,0.8437278380368155,4375214897561.5356,USD,66.7494471848954,Electronic technology,Strong buy,183.52214278442227,183.80652095780837,182.0836204076584,2.8798354379749846
AAPL,Apple Inc.,263.75,USD,-0.3664249017830263,38568746,0.8966053137850333,3872150600131.3457,USD,25.648607401755065,Electronic technology,Buy,263.62656152789805,263.35177777000865,260.4529954563607,0.5106512709119221
GOOG,Alphabet Inc.,303.56,USD,-0.9139574356965697,20361131,0.937330804442357,3673220870912.57,USD,34.30151628138206,Technology services,Strong buy,313.6405840535438,310.59470177163575,298.98493599371193,0.19639232254551756
MSFT,Microsoft Corporation,403.93,USD,1.3498933634424777,38199107,1.0624276056517519,2999434192233.0146,USD,28.732401172718202,Technology services,Strong buy,418.2799374548932,434.2049990396512,449.7445055358791,2.8191062860342844
AMZN,"Amazon.com, Inc.",208.73,USD,0.16315562167090716,43184918,0.8473001933249011,2240700032567.778,USD,29.884099963781235,Retail trade,Strong buy,216.06487358270567,219.98900451898245,222.25089354477996,2.0435101442190065
META,"Meta Platforms, Inc.",655.08,USD,0.23257237285025026,12263754,1.0413182994092158,1657061178241.206,USD,-1.8041592642909376,Technology services,Strong buy,655.6727736486935,658.234076062636,663.2242753500702,2.812480381693778
AVGO,Broadcom Inc.,313.84,USD,-1.5620099115488422,20826134,0.9835744826678747,1488001443051.1792,USD,290.5175949470921,Electronic technology,Strong buy,328.14028638670845,332.82676995489,332.29858677770665,1.4481510214636544
TSLA,"Tesla, Inc.",392.43,USD,-2.7000892591490593,62617228,1.1118595414407304,1472566871279.828,USD,-47.21091105332875,Consumer durables,Neutral,415.1608625582286,420.43698598502425,417.72200455732536,0.4685099846390128
BRK.A,Berkshire Hathaway Inc.,721044.89,USD,0.14512361111111305,183,0.8944281524926686,1037257365766.9498,USD,-24.793607676757496,Finance,Neutral,741718.7987500635,742769.1884516946,742945.9561414991,-2.474387256725262
WMT,Walmart Inc.,127.91,USD,0.6372934697088924,16480390,0.5870588657138402,1019464047732.1704,USD,13.420560747663538,Retail trade,Strong buy,124.63616609742981,121.39178718100838,117.13272653642618,0.35305193786286115
LLY,Eli Lilly and Company,1007.73,USD,-1.0059235537393054,2845962,0.8961988819722433,950649547387.008,USD,96.61679330844018,Health technology,Buy,1032.9964810799313,1023.7117407328909,994.4483019867009,-3.531427696195734
JPM,JP Morgan Chase & Co.,300.26,USD,0.9073800241967969,10278213,1.0342429871039374,809810963009.1526,USD,1.3323475345747045,Finance,Buy,307.09606829110027,308.5902798568167,307.4096371558541,1.848648281944299
XOM,Exxon Mobil Corporation,151.83,USD,-1.54973414602515,25198873,1.2073394187718294,632639733308.3926,USD,-14.721355327686139,Energy minerals,Buy,144.1307646378977,138.40023004874146,132.15026487896912,-4.7191716347662265
V,Visa Inc.,320.83,USD,0.09984087859972955,5474282,0.6358887876883218,611505001002.1866,USD,7.797129577608654,Finance,Strong buy,324.8160569132224,328.4877422569419,332.1840830850844,1.6893819334389808
JNJ,Johnson & Johnson,246.75,USD,-0.7281943997425178,6178739,0.6230882137164864,594642554096.177,USD,90.53023769275883,Health technology,Buy,236.2218917818566,227.90989994122168,217.4075586205193,-0.9791725189614341
