Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Sector,Analyst Rating,Exponential Moving Average (8) 1 week,Exponential Moving Average (13) 1 week,Exponential Moving Average (21) 1 week,Change from Open % 1 week,Performance % 1 month
NVDA,NVIDIA Corporation,180.25,USD,-1.5780277383422445,160984439,0.9089617393534998,4380075000000.0,USD,Electronic technology,Strong buy,182.40956784467411,183.0253853107745,181.73263012266466,1.9340609625063547,-6.3393089114055545
AAPL,Apple Inc.,250.12,USD,-2.205192367844849,36929285,0.9623818549486473,3672046577181.9995,USD,Electronic technology,Strong buy,259.5379429167602,260.6913197212319,258.9937975223114,-2.178419179475143,-8.94628588070405
GOOGL,Alphabet Inc.,302.28,USD,-0.41838247405700496,23693037,0.827126100792438,3652221945404.0005,USD,Technology services,Strong buy,310.12538931360626,308.5399338093738,298.47614992740864,2.6905829596412416,-5.232467003166459
GOOG,Alphabet Inc.,301.46,USD,-0.5771577454569441,16857377,0.9245219287315107,3652221945404.0,USD,Technology services,Strong buy,310.0246517947316,308.64566274303473,298.77523106866374,2.4903530691689153,-5.486581389515927
MSFT,Microsoft Corporation,395.55,USD,-1.5701985766187234,26847537,0.8361938432291585,2937207423222.0,USD,Technology services,Strong buy,414.09822295874403,429.29877468704797,445.2334347846835,-2.312831088006127,-4.955847900522617
AMZN,"Amazon.com, Inc.",207.67,USD,-0.8877010451963985,35660820,0.7743244065249298,2229321003322.0005,USD,Retail trade,Strong buy,214.97366710753653,218.77771815912783,221.29560570186607,-1.3209788548348782,-0.1874459290589324
META,"Meta Platforms, Inc.",613.71,USD,-3.8343414083800673,18956907,1.550157735067871,1552413531030.9998,USD,Technology services,Strong buy,644.5812930847862,650.6220651965451,657.8783494917993,-3.319260216137865,-8.94510385756676
AVGO,Broadcom Inc.,322.16,USD,-4.110486055302557,34722473,1.0869161021353027,1525320650150.9998,USD,Electronic technology,Strong buy,329.68738323904483,333.34049669602814,332.75210368221263,-1.5553857906799007,-7.104959630911184
TSLA,"Tesla, Inc.",391.2,USD,-0.9645325434799126,58502380,0.9585856981296209,1467951399126.0,USD,Consumer durables,Buy,410.579436310721,416.78680431369423,415.6662851347586,0.2948339956415786,-8.588519821009218
BRK.A,Berkshire Hathaway Inc.,734838.94,USD,-0.24246529781096976,130,0.7034632034632035,1057053522672.3308,USD,Finance,Buy,744814.2829784445,744912.4329585952,744420.1216162388,-0.8318535822392158,-2.286737667683179
BRK.B,Berkshire Hathaway Inc. New,490.03,USD,-0.37813332249080356,3565682,0.6148927899339247,1057053465132.9999,USD,Finance,Buy,496.32139060505966,496.3100726256922,495.9664234845986,-0.984037179228128,-1.8664263542605486
WMT,Walmart Inc.,126.52,USD,0.949493337588764,15194013,0.7854014719581295,1008385501095.9999,USD,Retail trade,Strong buy,124.34442548318616,121.62112370617044,117.6464456116271,2.2892184802952507,-0.13812699790836036
LLY,Eli Lilly and Company,985.08,USD,0.8012279355333887,1984353,0.8084163496587004,930722166595.9999,USD,Health technology,Strong buy,1019.3409667658724,1016.0623083832943,992.1586216408026,-0.18340443210488963,-4.0350706283487545
JPM/PM,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.20% Non-Cumulative Preferred Stock, Series MM",17.8696,USD,-1.9231613611416054,346733,1.871362672485491,764446890081.0,USD,Finance,,18.377393602146945,18.4280745799323,18.4630154225246,-2.776931447225248,-2.8826086956521753
JPM/PC,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 6.00% Non-Cumulative Preferred Stock, Series EE",25.03,USD,-0.3185981680605269,157148,1.4190755438203282,764446890081.0,USD,Finance,,25.16020164100879,25.197129285648842,25.236070721635844,-0.3185981680605269,-0.39793076004774325
JPM/PK,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.55% Non-Cumulative Preferred Stock, Series JJ",18.95,USD,-1.1991657977059458,118723,0.8389938546949114,764446890081.0,USD,Finance,,19.391850835293162,19.462801581330105,19.524675828671253,-2.319587628865976,-2.319587628865976
JPM,JP Morgan Chase & Co.,283.44,USD,0.19442186008696363,9091181,0.8519214405194033,764446890081.0,USD,Finance,Strong buy,299.96212718937426,303.667586816047,304.3330585714376,-0.721541155866901,-12.31283257022646
JPM/PD,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 5.75% Non-Cumulative Preferred Stock, Series DD",24.68,USD,-0.40355125100888384,128644,1.1198236750383883,764446890081.0,USD,Finance,,24.914695084554705,24.953908129107493,24.96772263442858,-0.6441223832528187,-1.082164328657313
JPM/PL,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of 4.625% Non-Cumulative Preferred Stock, Series LL",19.33,USD,-0.9733606557377116,191911,0.7542698897311982,764446890081.0,USD,Finance,,19.729408832129725,19.791753496244176,19.849199097966753,-1.6785350966429393,-1.8283392585068714
JPM/PJ,"J P Morgan Chase & Co Depositary Shares, each representing a 1/400th interest in a share of JPMorgan Chase & Co. 4.75% Non-Cumulative Preferred Stock, Series GG",19.81,USD,-0.9995002498750766,61796,1.1123291123291124,764446890081.0,USD,Finance,,20.246097884036065,20.321869549815688,20.39644733429408,-1.8334985133795885,-2.1245059288537536
XOM,Exxon Mobil Corporation,156.12,USD,1.6869667166026205,22413994,0.9897003052970599,650515124108.0,USD,Energy minerals,Buy,146.68787866898217,140.85570738871718,134.27809203873227,2.7003914087425707,1.3963759173865076
TCTZF,Tencent Holding Ltd.,69.93,USD,0.4510457366122833,7246,0.808299403201517,631021481630.8236,USD,Technology services,Strong buy,70.47659006479134,72.44950468278265,73.84784231635236,6.419566712726524,-0.6040793120602618
V,Visa Inc.,307.14,USD,0.20880913539966928,4814143,0.7464961737004991,585411742177.0,USD,Finance,Strong buy,320.2882911794199,325.01316683248075,329.6205713996635,-2.016206214509026,-6.050409886210702
JNJ,Johnson & Johnson,241.52,USD,-0.21484052222772343,6415539,0.8709314340233639,582038798851.0001,USD,Health technology,Buy,236.30171829946872,229.07664892921042,219.0748053574969,0.26985510856478834,0.9108381382134231
