date,above_5d,above_20d,above_50d,above_200d
2006-12-29,0,43.3,65.4,77.8
2007-01-02,0,43.3,65.4,77.8
2007-01-03,0,47.7,64.9,77.3
2007-01-04,0,49.2,66.5,76.9
2007-01-05,0,34.5,55.8,75.0
2007-01-08,0,41.9,56.0,76.0
2007-01-09,0,45.5,58.1,77.5
2007-01-10,0,49.9,59.4,78.1
2007-01-11,0,60.4,66.8,80.2
2007-01-12,0,61.6,68.2,82.1
2007-01-15,0,61.6,68.2,82.1
2007-01-16,0,63.5,67.2,81.4
2007-01-17,0,62.9,67.4,81.4
2007-01-18,0,55.5,61.9,80.8
2007-01-19,0,62.3,66.0,81.7
2007-01-22,0,56.5,59.6,80.8
2007-01-23,0,62.7,65.6,82.3
2007-01-24,0,70.5,71.5,83.9
2007-01-25,0,56.3,60.4,80.8
2007-01-26,0,55.3,56.9,80.6
2007-01-29,0,55.3,57.3,80.6
2007-01-30,0,62.9,61.4,82.3
2007-01-31,0,72.0,67.6,84.5
2007-02-01,0,77.5,73.8,86.0
2007-02-02,0,79.8,75.9,86.4
2007-02-05,0,78.6,74.4,85.8
2007-02-06,0,79.8,75.9,86.6
2007-02-07,0,80.0,77.5,87.2
2007-02-08,0,80.2,76.7,86.6
2007-02-09,0,70.7,74.4,85.4
2007-02-12,0,63.7,69.1,84.7
2007-02-13,0,70.9,73.8,86.6
2007-02-14,0,76.3,79.8,88.0
2007-02-15,0,77.3,79.4,88.2
2007-02-16,0,79.0,79.8,88.5
2007-02-19,0,79.0,79.8,88.5
2007-02-20,0,80.4,81.2,89.1
2007-02-21,0,77.9,81.7,89.5
2007-02-22,0,76.1,79.8,89.7
2007-02-23,0,70.5,77.1,89.7
2007-02-26,0,64.1,75.0,89.9
2007-02-27,0,19.0,46.2,79.0
2007-02-28,0,20.6,51.1,81.4
2007-03-01,0,19.2,46.4,80.4
2007-03-02,0,10.1,36.1,75.9
2007-03-05,0,6.8,27.2,70.7
2007-03-06,0,14.2,38.8,75.9
2007-03-07,0,14.6,37.1,75.0
2007-03-08,0,22.5,43.5,78.8
2007-03-09,0,24.7,45.6,78.6
2007-03-12,0,32.4,48.0,79.0
