date,above_5d,above_20d,above_50d,above_200d
2026-03-03,,,,
2026-03-04,,,,
2026-03-05,,,,
2026-03-06,,,,
2026-03-09,,,,
2026-03-10,,,,
2026-03-11,,,,
2026-03-12,,,,
2026-03-13,,,,
2026-03-16,,,,
2026-03-17,,,,
2026-03-18,,,,
2026-03-19,,,,
2026-03-20,17.3,17.3,27.3,54.0
2026-03-23,52.7,24.0,30.0,55.7
2026-03-24,54.7,26.0,30.0,57.4
2026-03-25,70.3,32.0,33.7,57.7
2026-03-26,45.7,22.0,27.3,56.0
2026-03-27,45.7,22.0,27.3,56.0
2026-03-30,31.0,19.7,24.0,51.0
2026-03-31,73.7,38.0,28.7,56.0
2026-04-01,78.3,48.7,31.3,57.4
2026-04-02,79.7,57.0,33.3,56.4
2026-04-06,77.3,62.7,37.3,56.4
2026-04-07,62.0,61.3,34.0,57.0
2026-04-08,84.0,75.0,55.7,63.4
2026-04-09,76.7,74.3,56.7,63.8
2026-04-13,67.0,73.0,57.3,62.8
2026-04-14,61.0,74.0,60.3,64.1
2026-04-15,52.3,71.7,59.7,63.8
2026-04-16,57.0,71.7,60.0,61.4
2026-04-20,68.0,75.7,65.7,66.4
2026-04-21,52.7,67.3,63.3,64.1
2026-04-22,48.0,66.3,62.7,64.8
2026-04-23,46.0,67.0,61.3,64.4
2026-04-27,44.0,59.3,58.0,64.1
2026-04-28,39.7,60.3,58.7,63.8
2026-04-29,32.3,54.0,57.0,64.8
2026-04-30,68.0,64.3,64.3,67.4
2026-05-04,48.3,52.0,60.3,64.6
2026-05-05,47.3,52.3,60.0,65.7
2026-05-06,57.3,57.3,62.3,66.0
2026-05-07,47.7,48.7,59.0,66.3
2026-05-08,43.0,45.0,58.7,64.6
2026-05-11,47.7,49.0,58.7,65.4
2026-05-12,55.3,51.7,60.0,64.4
2026-05-13,49.7,51.3,57.0,64.1
2026-05-14,56.3,52.0,58.7,65.1
2026-05-18,48.0,50.7,57.7,63.4
2026-05-19,48.7,45.7,52.7,61.4
2026-05-20,58.7,51.7,59.3,64.2
2026-05-21,64.0,54.7,60.7,64.5
2026-05-22,68.7,59.0,63.0,65.9
2026-05-26,65.3,59.7,61.3,67.9
2026-05-27,53.7,54.3,58.0,67.2
2026-05-28,50.7,52.0,58.3,65.9
2026-05-29,40.0,50.3,55.7,65.6
2026-06-01,39.0,43.7,54.3,63.3
2026-06-02,52.3,52.0,56.0,63.0
2026-06-03,44.3,50.3,54.3,62.9
2026-06-04,67.3,59.7,61.3,66.9
2026-06-05,47.7,54.0,54.7,66.2
2026-06-08,37.3,47.0,54.7,63.9
2026-06-09,54.0,55.0,57.0,65.2
2026-06-10,38.0,48.7,50.0,63.2
2026-06-11,63.3,58.3,56.7,67.6
2026-06-12,76.7,66.3,60.3,68.6
2026-06-15,72.7,69.0,63.7,70.9
2026-06-16,64.0,68.0,65.0,71.9
2026-06-17,37.7,54.7,54.0,70.2
2026-06-18,38.7,53.3,56.0,67.2
2026-06-22,45.3,53.0,55.3,67.6
2026-06-23,44.3,54.3,57.7,70.6
2026-06-24,49.7,57.3,61.3,71.6
2026-06-25,56.3,58.0,62.3,69.9
2026-06-26,56.0,55.7,60.3,70.2
2026-06-29,60.0,59.7,63.3,67.9
2026-06-30,54.0,60.3,61.3,67.6
2026-07-01,52.7,60.0,60.3,68.2
2026-07-02,65.3,62.0,63.0,72.9
2026-07-06,66.7,65.7,64.3,71.9
2026-07-07,66.7,63.7,63.3,73.2
2026-07-08,43.0,59.3,63.7,71.9
2026-07-09,53.0,62.0,63.7,71.2
2026-07-10,58.7,62.7,65.3,72.2
2026-07-13,54.0,62.3,62.3,72.9
2026-07-14,55.7,57.7,63.7,70.6
2026-07-15,49.0,56.0,61.7,70.9
2026-07-16,61.0,61.3,63.0,75.6
2026-07-17,48.0,55.7,61.0,72.9
2026-07-20,34.7,50.0,59.0,69.9
2026-07-21,46.0,54.3,58.0,69.2
2026-07-22,50.7,53.0,61.0,70.6
2026-07-23,51.7,49.3,59.7,68.9
2026-07-24,61.0,57.0,64.3,70.6
2026-07-27,63.0,62.0,67.0,73.9
2026-07-28,62.0,65.3,67.0,74.6
2026-07-29,50.7,56.3,63.7,71.2
2026-07-30,52.0,55.3,63.0,74.2
2026-07-31,48.0,57.7,63.3,72.6
2026-08-03,60.0,62.7,62.0,74.9
2026-08-04,65.7,68.3,69.7,75.3
2026-08-05,70.7,66.3,67.3,75.6
2026-08-07,61.0,66.3,67.7,79.3
2026-08-10,55.7,68.0,70.0,78.3
2026-08-11,56.3,68.3,66.3,78.9
2026-08-12,62.7,71.7,70.7,77.3
2026-08-13,65.0,74.7,73.3,79.6
2026-08-14,64.3,72.7,74.7,79.9
2026-08-17,44.0,68.0,68.3,76.6
2026-08-18,36.3,62.3,67.3,77.6
