date,price,total_return_index
1993-01-29,43.937500,100.00000000
1993-02-01,44.250000,100.71119798
1993-02-02,44.343750,100.92463905
1993-02-03,44.812500,101.99145585
1993-02-04,45.000000,102.41821905
1993-02-05,44.968750,102.34709846
1993-02-08,44.968750,102.34709846
1993-02-09,44.656250,101.63584497
1993-02-10,44.718750,101.77812580
1993-02-11,44.937500,102.27590650
1993-02-12,44.593750,101.49365929
1993-02-16,43.468750,98.93315941
1993-02-17,43.437500,98.86200710
1993-02-18,43.406250,98.79094995
1993-02-19,43.562500,99.14648947
1993-02-22,43.718750,99.50219551
1993-02-23,43.687500,99.43103527
1993-02-24,44.250000,100.71119798
1993-02-25,44.343750,100.92463905
1993-02-26,44.406250,101.06684852
1993-03-01,44.281250,100.78237408
1993-03-02,44.937500,102.27590650
1993-03-03,45.125000,102.70276485
1993-03-04,44.875000,102.13379219
1993-03-05,44.750000,101.84922260
1993-03-08,45.750000,104.12516875
1993-03-09,45.593750,103.76961337
1993-03-10,45.687500,103.98291171
1993-03-11,45.562500,103.69848485
1993-03-12,45.093750,102.63162840
1993-03-15,45.312500,103.12943289
1993-03-16,45.312500,103.12943289
1993-03-17,45.031250,102.48934757
1993-03-18,45.312500,103.12943289
1993-03-19,45.031250,102.97337835
1993-03-22,44.781250,102.40176513
1993-03-23,44.875000,102.61610224
1993-03-24,44.875000,102.61610224
1993-03-25,45.156250,103.25924839
1993-03-26,44.906250,102.68758760
1993-03-29,45.093750,103.11628562
1993-03-30,45.218750,103.40210015
1993-03-31,45.187500,103.33072582
1993-04-01,45.031250,102.97337835
1993-04-02,44.093750,100.82961072
1993-04-05,44.312500,101.32978616
1993-04-06,44.187500,101.04398748
1993-04-07,44.343750,101.40131116
1993-04-08,44.281250,101.25836424
1993-04-12,44.906250,102.68758760
1993-04-13,45.000000,102.90192471
1993-04-14,44.937500,102.75898572
1993-04-15,44.937500,102.75898572
1993-04-16,44.937500,102.75898572
1993-04-19,44.750000,102.33022427
1993-04-20,44.531250,101.83000918
1993-04-21,44.500000,101.75860312
1993-04-22,43.937500,100.47234254
1993-04-23,43.750000,100.04355730
1993-04-26,43.406250,99.25752767
1993-04-27,43.875000,100.32936391
1993-04-28,43.781250,100.11502679
1993-04-29,43.968750,100.54377239
1993-04-30,44.031250,100.68666380
1993-05-03,44.312500,101.32978616
1993-05-04,44.468750,101.68707812
1993-05-05,44.593750,101.97300367
1993-05-06,44.437500,101.61563242
1993-05-07,44.343750,101.40131116
1993-05-10,44.437500,101.61563242
1993-05-11,44.625000,102.04436215
1993-05-12,44.562500,101.90154211
1993-05-13,44.031250,100.68666380
1993-05-14,44.000000,100.61524188
1993-05-17,44.156250,100.97249420
1993-05-18,44.125000,100.90111193
1993-05-19,45.031250,102.97337835
1993-05-20,45.156250,103.25924839
1993-05-21,44.750000,102.33022427
1993-05-24,44.937500,102.75898572
1993-05-25,45.031250,102.97337835
1993-05-26,45.593750,104.25972615
1993-05-27,45.437500,103.90238661
1993-05-28,45.218750,103.40210015
1993-06-01,45.656250,104.40261756
1993-06-02,45.593750,104.25972615
1993-06-03,45.437500,103.90238661
1993-06-04,45.281250,103.54509465
1993-06-07,45.125000,103.18776304
1993-06-08,44.718750,102.25877063
1993-06-09,44.875000,102.61610224
1993-06-10,44.906250,102.68758760
1993-06-11,45.093750,103.11628562
1993-06-14,45.031250,102.97337835
1993-06-15,44.937500,102.75898572
1993-06-16,45.031250,102.97337835
1993-06-17,45.187500,103.33072582
1993-06-18,44.500000,102.47975276
1993-06-21,44.593750,102.69569165
1993-06-22,44.625000,102.76756555
1993-06-23,44.218750,101.83210259
1993-06-24,44.812500,103.19941162
1993-06-25,44.781250,103.12749807
1993-06-28,45.281250,104.27891579
1993-06-29,45.062500,103.77517202
1993-06-30,45.062500,103.77517202
1993-07-01,44.937500,103.48730372
1993-07-02,44.687500,102.91152746
1993-07-06,44.218750,101.83210259
1993-07-07,44.343750,102.11995504
1993-07-08,44.843750,103.27138861
1993-07-09,44.968750,103.55933621
1993-07-12,44.937500,103.48730372
1993-07-13,44.906250,103.41535052
1993-07-14,45.062500,103.77517202
1993-07-15,44.875000,103.34338939
1993-07-16,44.750000,103.05545765
1993-07-19,44.718750,102.98348066
1993-07-20,44.843750,103.27138861
1993-07-21,44.812500,103.19941162
1993-07-22,44.500000,102.47975276
1993-07-23,44.718750,102.98348066
1993-07-26,44.968750,103.55933621
1993-07-27,44.937500,103.48730372
1993-07-28,44.843750,103.27138861
1993-07-29,45.093750,103.84714901
1993-07-30,44.843750,103.27138861
1993-08-02,44.968750,103.55933621
1993-08-03,45.000000,103.63121012
1993-08-04,45.000000,103.63121012
1993-08-05,44.906250,103.41535052
1993-08-06,44.968750,103.55933621
1993-08-09,45.218750,104.13496181
1993-08-10,45.187500,104.06297689
1993-08-11,45.187500,104.06297689
1993-08-12,45.062500,103.77517202
1993-08-13,45.125000,103.91907842
1993-08-16,45.375000,104.49479124
1993-08-17,45.531250,104.85467618
1993-08-18,45.781250,105.43034936
1993-08-19,45.781250,105.43034936
1993-08-20,45.812500,105.50237392
1993-08-23,45.718750,105.28644296
1993-08-24,46.218750,106.43790032
1993-08-25,46.250000,106.50987731
1993-08-26,46.281250,106.58186223
1993-08-27,46.250000,106.50987731
1993-08-30,46.437500,106.94166787
1993-08-31,46.562500,107.22952825
1993-09-01,46.500000,107.08561392
1993-09-02,46.343750,106.72580034
1993-09-03,46.375000,106.79776147
1993-09-07,46.062500,106.07809468
1993-09-08,45.906250,105.71827317
1993-09-09,46.000000,105.93412484
1993-09-10,46.406250,106.86964331
1993-09-13,46.437500,106.94166787
1993-09-14,46.250000,106.50987731
1993-09-15,46.375000,106.79776147
1993-09-16,46.187500,106.36596298
1993-09-17,45.812500,106.15969027
1993-09-20,45.437500,105.29078838
1993-09-21,45.281250,104.92863557
1993-09-22,45.656250,105.79770398
1993-09-23,45.906250,106.37697720
1993-09-24,45.781250,106.08727715
1993-09-27,46.281250,107.24592666
1993-09-28,46.187500,107.02870317
1993-09-29,46.031250,106.66666138
1993-09-30,45.937500,106.44938238
1993-10-01,46.156250,106.95626627
1993-10-04,46.218750,107.10107664
1993-10-05,46.156250,106.95626627
1993-10-06,46.125000,106.88383729
1993-10-07,46.000000,106.59417690
1993-10-08,46.062500,106.73905864
1993-10-11,46.156250,106.95626627
1993-10-12,46.218750,107.10107664
1993-10-13,46.218750,107.10107664
1993-10-14,46.812500,108.47690999
1993-10-15,47.062500,109.05623078
1993-10-18,46.937500,108.76661797
1993-10-19,46.593750,107.97007369
1993-10-20,46.656250,108.11484441
1993-10-21,46.593750,107.97007369
1993-10-22,46.375000,107.46316601
1993-10-25,46.500000,107.75283434
1993-10-26,46.468750,107.68038950
1993-10-27,46.500000,107.75283434
1993-10-28,46.843750,108.54930725
1993-10-29,46.843750,108.54930725
1993-11-01,46.968750,108.83904694
1993-11-02,46.937500,108.76661797
1993-11-03,46.343750,107.39076083
1993-11-04,45.843750,106.23213510
1993-11-05,46.062500,106.73905864
1993-11-08,46.125000,106.88383729
1993-11-09,46.156250,106.95626627
1993-11-10,46.500000,107.75283434
1993-11-11,46.375000,107.46316601
1993-11-12,46.593750,107.97007369
1993-11-15,46.562500,107.89762885
1993-11-16,46.781250,108.40448102
1993-11-17,46.531250,107.82520781
1993-11-18,46.406250,107.53552362
1993-11-19,46.312500,107.31837150
1993-11-22,46.031250,106.66666138
1993-11-23,46.281250,107.24592666
1993-11-24,46.468750,107.68038950
1993-11-26,46.500000,107.75283434
1993-11-29,46.312500,107.31837150
1993-11-30,46.343750,107.39076083
1993-12-01,46.406250,107.53552362
1993-12-02,46.531250,107.82520781
1993-12-03,46.718750,108.25971822
1993-12-06,46.875000,108.62176001
1993-12-07,46.843750,108.54930725
1993-12-08,46.843750,108.54930725
1993-12-09,46.687500,108.18728925
1993-12-10,46.593750,107.97007369
1993-12-13,46.875000,108.62176001
1993-12-14,46.531250,107.82520781
1993-12-15,46.468750,107.68038950
1993-12-16,46.625000,108.04246301
1993-12-17,46.562500,108.63620775
1993-12-20,46.625000,108.78204897
1993-12-21,46.468750,108.41751728
1993-12-22,46.781250,109.14665995
1993-12-23,46.750000,109.07366798
1993-12-27,47.000000,109.65694564
1993-12-28,47.093750,109.87578677
1993-12-29,47.031250,109.72991383
1993-12-30,46.843750,109.29238223
1993-12-31,46.593750,108.70912836
1994-01-03,46.468750,108.41751728
1994-01-04,46.656250,108.85498544
1994-01-05,46.750000,109.07366798
1994-01-06,46.750000,109.07366798
1994-01-07,47.031250,109.72991383
1994-01-10,47.593750,111.04232623
1994-01-11,47.500000,110.82356440
1994-01-12,47.343750,110.45900099
1994-01-13,47.218750,110.16739784
1994-01-14,47.406250,110.60485807
1994-01-17,47.406250,110.60485807
1994-01-18,47.468750,110.75063585
1994-01-19,47.343750,110.45900099
1994-01-20,47.468750,110.75063585
1994-01-21,47.375000,110.53192953
1994-01-24,47.187500,110.09441379
1994-01-25,47.187500,110.09441379
1994-01-26,47.312500,110.38608831
1994-01-27,47.750000,111.40683413
1994-01-28,47.875000,111.69851657
1994-01-31,48.218750,112.50045298
1994-02-01,47.968750,111.91721497
1994-02-02,48.281250,112.64635764
1994-02-03,48.062500,112.13595301
1994-02-04,46.968750,109.58408846
1994-02-07,47.187500,110.09441379
1994-02-08,47.218750,110.16739784
1994-02-09,47.406250,110.60485807
1994-02-10,47.000000,109.65694564
1994-02-11,47.156250,110.02154869
1994-02-14,47.218750,110.16739784
1994-02-15,47.468750,110.75063585
1994-02-16,47.437500,110.67778661
1994-02-17,47.156250,110.02154869
1994-02-18,46.875000,109.36534249
1994-02-22,47.343750,110.45900099
1994-02-23,47.218750,110.16739784
1994-02-24,46.593750,108.70912836
1994-02-25,46.812500,109.21953299
1994-02-28,46.812500,109.21953299
1994-03-01,46.625000,108.78204897
1994-03-02,46.687500,108.92788226
1994-03-03,46.562500,108.63620775
1994-03-04,46.687500,108.92788226
1994-03-07,46.937500,109.51119957
1994-03-08,46.750000,109.07366798
1994-03-09,46.968750,109.58408846
1994-03-10,46.593750,108.70912836
1994-03-11,46.843750,109.29238223
1994-03-14,46.906250,109.43827103
1994-03-15,46.875000,109.36534249
1994-03-16,47.250000,110.24028673
1994-03-17,47.250000,110.24028673
1994-03-18,46.968750,110.21624418
1994-03-21,46.843750,109.92286481
1994-03-22,46.968750,110.21624418
1994-03-23,46.937500,110.14288745
1994-03-24,46.375000,108.82298157
1994-03-25,45.937500,107.79635199
1994-03-28,46.000000,107.94303375
1994-03-29,45.093750,105.81637819
1994-03-30,44.468750,104.34973505
1994-03-31,44.593750,104.64311443
1994-04-04,43.906250,103.02982125
1994-04-05,44.812500,105.15637371
1994-04-06,44.812500,105.15637371
1994-04-07,45.031250,105.66971229
1994-04-08,44.687500,104.86311328
1994-04-11,44.875000,105.30315063
1994-04-12,44.812500,105.15637371
1994-04-13,44.578125,104.60642417
1994-04-14,44.593750,104.64311443
1994-04-15,44.593750,104.64311443
1994-04-18,44.296875,103.94646726
1994-04-19,44.359375,104.09310145
1994-04-20,44.312500,103.98315753
1994-04-21,44.906250,105.37639635
1994-04-22,44.859375,105.26633349
1994-04-25,45.328125,106.36637532
1994-04-26,45.281250,106.25639968
1994-04-28,44.953125,105.48638785
1994-04-29,45.093750,105.81637819
1994-05-02,45.375000,106.47636682
1994-05-03,45.328125,106.36637532
1994-05-04,45.250000,106.18308259
1994-05-05,45.187500,106.03641669
1994-05-06,44.750000,105.00975539
1994-05-09,44.359375,104.09310145
1994-05-10,44.703125,104.89973218
1994-05-11,44.296875,103.94646726
1994-05-12,44.515625,104.45975034
1994-05-13,44.515625,104.45975034
1994-05-16,44.531250,104.49642474
1994-05-17,45.187500,106.03641669
1994-05-18,45.515625,106.80636509
1994-05-19,45.734375,107.31970367
1994-05-20,45.562500,106.91631694
1994-05-23,45.484375,106.73302421
1994-05-24,45.671875,107.17299019
1994-05-25,45.796875,107.46632992
1994-05-26,45.828125,107.53963115
1994-05-27,45.875000,107.64965437
1994-05-31,45.812500,107.50303605
1994-06-01,46.015625,107.97964471
1994-06-02,45.968750,107.86968494
1994-06-03,46.234375,108.49291986
1994-06-06,46.218750,108.45627717
1994-06-07,46.156250,108.30955576
1994-06-08,45.781250,107.42963966
1994-06-09,46.031250,108.01635084
1994-06-10,46.109375,108.19962771
1994-06-13,46.171875,108.34626982
1994-06-14,46.531250,109.18960667
1994-06-15,46.343750,108.74962483
1994-06-16,46.437500,108.96959196
1994-06-17,45.875000,108.36132813
1994-06-20,45.484375,107.43862390
1994-06-21,45.093750,106.51597517
1994-06-22,45.265625,106.92196281
1994-06-23,45.000000,106.29454106
1994-06-24,44.062500,104.07997796
1994-06-27,44.828125,105.88852963
1994-06-28,44.609375,105.37179718
1994-06-29,44.750000,105.70407918
1994-06-30,44.468750,105.03964206
1994-07-01,44.562500,105.26115546
1994-07-05,44.796875,105.81473677
1994-07-06,44.734375,105.66708760
1994-07-07,44.921875,106.11000339
1994-07-08,44.906250,106.07309110
1994-07-11,44.750000,105.70407918
1994-07-12,44.812500,105.85159355
1994-07-13,44.890625,106.03616295
1994-07-14,45.375000,107.18034093
1994-07-15,45.390625,107.21718979
1994-07-18,45.468750,107.40177504
1994-07-19,45.375000,107.18034093
1994-07-20,45.171875,106.70052078
1994-07-21,45.265625,106.92196281
1994-07-22,45.343750,107.10645291
1994-07-25,45.406250,107.25418138
1994-07-26,45.359375,107.14338106
1994-07-27,45.359375,107.14338106
1994-07-28,45.453125,107.36483896
1994-07-29,45.906250,108.43519236
1994-08-01,46.125000,108.95188516
1994-08-02,46.187500,109.09956605
